,Passage,Summary,Style
0,"어느 날 아기 돼지 삼형제는 어머니로부터 독립하여 살게 된다. 세 마리의 아기 돼지들은 자신만의 집을 짓기로 약속한다. 첫째 돼지는 지푸라기, 둘째 돼지는 나무로 허술하게 집을 지었지만 셋째 돼지는 벽돌로 튼튼하게 집을 짓게 된다. 어느 날, 그들을 잡아 먹으려고 하는 늑대가 나타나 허술하게 지어진 첫째, 둘째 돼지의 집을 단숨에 무너뜨려 그들을 잡아먹는다. 그러나 튼튼한 셋째 돼지의 집만은 무너지지 않았다. 집이 무너지지 않는다는 것을 깨달은 늑대는 셋째 돼지를 밖으로 유인하려 했다. 늑대는 순무 밭, 사과나무, 시장으로 가서 셋째 돼지를 유인하려 했으나 셋째 돼지가 늑대와의 약속 시간보다 한 시간 일찍 나간 탓에 계획은 실패하고 말았다. 늑대는 셋째 돼지의 집 굴뚝으로 들어가는 계획을 세우지만 결국 그것을 눈치 챈 셋째 돼지가 뜨거운 솥을 놓아 늑대는 죽게 된다.","세 마리의 아기 돼지들은 자신만의 집을 짓기로 약속한다. 첫째 돼지는 지푸라기, 둘째 돼지는 나무로 허술하게 집을 지었지만 셋째 돼지는 벽돌로 튼튼하게 집을 짓게 된다. 어느 날, 그들을 잡아 먹으려고 하는 늑대가 나타나 허술하게 지어진 첫째, 둘째 돼지의 집을 단숨에 무너뜨려 그들을 잡아먹는다. 그러나 튼튼한 셋째 돼지의 집만은 무너지지 않았다. 늑대는 셋째 돼지의 집 굴뚝으로 들어가는 계획을 세우지만 결국 그것을 눈치 챈 셋째 돼지가 뜨거운 솥을 놓아 늑대는 죽게 된다.",horror fairy tale
1,"하얀 눈이 깃털처럼 흩날리던 날, 왕비는 흑단나무로 만든 자수틀로 작업을 하고 있었다. 작업을 하던 중, 하얀 눈을 감상하다 그만 손을 찔려 세 방울의 피를 눈 위에 떨어뜨렸다. 왕비는 떨어진 핏방울을 보며 눈처럼 하얗고, 피처럼 새빨갛고 흑단처럼 까만 아이를 가지길 소망했고, 소원대로 얼마 지나지 않아 피부가 눈처럼 하얗고, 입술은 피처럼 새빨갛고, 머리카락은 흑단처럼 까만 딸을 낳았다. 왕비는 아이의 이름을 백설이라 지었는데 기쁨도 잠시, 얼마 지나지 않아 산후병으로 세상을 떠나게 된다. 몇 년 후, 왕은 재혼을 했다. 새 왕비는 아름다웠으나 오만했고, 인격이 바르지 못했다. 게다가 자신보다 미모가 더 뛰어난 사람이 있는 것을 참을 수 없어했다. 왕비는 진실만을 말하는 마법 거울에게 물으면서, 매일매일 자신이 이 세상에서 가장 아름답다는 사실을 확인하곤 했다. ""왕비마마보다 아름다운 사람은 없습니다.""라는 답변을 받으면 만족해했다. 어느덧 백설공주는 나이를 먹고 하루하루 예뻐져, 7살이 되어서는 왕비의 미모를 능가했다. 어느 날, 왕비는 평소처럼 거울에게 질문을 했는데, 거울이 ""백설공주가 더 아름답습니다.""라고 답했다. 그 말을 듣자 질투심이 일어 화가 난 왕비는 사냥꾼을 불러 백설공주를 숲에 데리고 가서 죽이도록 명령했으나 백설공주를 불쌍히 여긴 사냥꾼은 차마 백설공주를 죽이지 못하고, 숲 속으로 도망치게 했다. ","왕비는 아이의 이름을 백설이라 지었는데 기쁨도 잠시, 얼마 지나지 않아 산후병으로 세상을 떠나게 된다. 몇 년 후, 왕은 재혼을 했다. 왕비는 진실만을 말하는 마법 거울에게 물으면서, 매일매일 자신이 이 세상에서 가장 아름답다는 사실을 확인하곤 했다. 어느덧 백설공주는 나이를 먹고 하루하루 예뻐져, 7살이 되어서는 왕비의 미모를 능가했다. 그 말을 듣자 질투심이 일어 화가 난 왕비는 사냥꾼을 불러 백설공주를 숲에 데리고 가서 죽이도록 명령했으나 백설공주를 불쌍히 여긴 사냥꾼은 차마 백설공주를 죽이지 못하고, 숲 속으로 도망치게 했다. ",horror fairy tale
2,"숲속에서 도망치던 중, 난쟁이의 집을 발견한 백설공주는 일곱 난쟁이와 함께 생활하게 되었다. 수년 후 거울을 통해 백설공주가 살아있다는 사실을 안 왕비는 행상인으로 변장하고 백설공주를 찾아가서 자신이 파는 물건을 보여준 뒤 그 중 레이스끈으로 공주를 목졸라 쓰러지게 했다. 저녁에 돌아온 난쟁이들은 끈을 잘라 공주를 다시 살렸고, 공주가 살았음을 안 왕비는 이번에는 빗에 독을 묻힌 뒤, 또다른 행상인으로 변장하여 공주를 찾아가서 빗으로 머리를 빗겨 독이 퍼지게 하여 공주를 쓰러지게 했다. 저녁에 돌아온 난쟁이들은 빗을 빼내어 다시 공주를 살렸다. 또 다시 공주가 살았음을 안 왕비는 독사과를 만들어 사과 파는 행상인으로 가장해 백설공주에게 주었고, 아무 의심도 하지 않은 백설공주는 먹고 그대로 쓰러져 숨을 거두었다. 난쟁이들은 차마 백설공주를 묻을 수 없어 유리관을 짜서 안에 공주를 안치하고 숲에 두었다. 마법거울이 세상에서 가장 아름다운 여인이 왕비마마라고 달래어서 왕비는 흡족해하였다. 오랜 시간이 흐른 어느 날, 한 다른 나라 왕자가 지나가던 중 그것을 발견하고 난쟁이들에게 후한 대접을 하는 조건으로 관을 가져갔고, 하인들이 관을 나르다가 덤불에서 휘청거리는 바람에 백설공주의 목구멍에서 독사과가 빠져나와 백설공주는 다시 살아났다. 왕자는 아름다운 백설공주에게 청혼하여 결혼식을 올렸고, 계모 왕비는 그 결혼식에 초대받기 전 거울을 통해 백설공주가 살아있다는 사실을 알게 되자 또 분노했다. 이웃나라 왕자는 혼례식 잔치에 백설공주의 계모를 초대했고, 결혼식에 참석한 왕비는 현장에서 체포되었고, 왕자와 공주는 빨갛게 달군 쇠로 만든 신발을 신겼으며, 왕비는 뜨거워서 아주 미친듯 펄쩍펄쩍 날뛰다가 최후를 맞았다.","숲속에서 도망치던 중, 난쟁이의 집을 발견한 백설공주는 일곱 난쟁이와 함께 생활하게 되었다. 수년 후 거울을 통해 백설공주가 살아있다는 사실을 안 왕비는 행상인으로 변장하고 백설공주를 찾아가서 자신이 파는 물건을 보여준 뒤 그 중 레이스끈으로 공주를 목졸라 쓰러지게 했다. 또 다시 공주가 살았음을 안 왕비는 독사과를 만들어 사과 파는 행상인으로 가장해 백설공주에게 주었고, 아무 의심도 하지 않은 백설공주는 먹고 그대로 쓰러져 숨을 거두었다. 오랜 시간이 흐른 어느 날, 한 다른 나라 왕자가 지나가던 중 그것을 발견하고 난쟁이들에게 후한 대접을 하는 조건으로 관을 가져갔고, 하인들이 관을 나르다가 덤불에서 휘청거리는 바람에 백설공주의 목구멍에서 독사과가 빠져나와 백설공주는 다시 살아났다. 왕자는 아름다운 백설공주에게 청혼하여 결혼식을 올렸고, 계모 왕비는 그 결혼식에 초대받기 전 거울을 통해 백설공주가 살아있다는 사실을 알게 되자 또 분노했다.",fantasy vivid colors
3,"어느 날 아주 아리따운 공주가 금으로 만들어진 공을 가지고 숲에서 놀다가, 실수로 공을 샘에 떨어뜨렸다. 마침 그 샘에 있던 개구리가 이를 보고 공주에게 가서 자신이 공을 찾아주겠노라 한다. 개구리는 공을 가져다주는 조건으로, 공주의 궁에서 지내게 해 주고 공주의 침대에서 재워주길 요구했다. 하지만 공을 되찾은 공주는 개구리를 따돌리고 성으로 돌아와버린다. 그럼에도 불구하고 개구리는 집요하게도 결국 공주를 찾아온다. 개구리의 존재를 눈치챈 왕에게 딸인 공주는 대수롭지 않은 일이라 얼버무렸지만 개구리를 통해 자초지종을 들은 왕은 불명예스럽지 않은 공주가 되려면 약속을 지켜야 한다며 공주에게 약속의 이행을 요구한다. 때문에 어쩔 수 없이 공주는 개구리의 요구를 따른다. 이래저래 식사까지 마친 개구리는 이제 침대에 같이 눕게 해 달라 요구하는데, 공주는 그동안 참아왔던 혐오감과 분노가 폭발하여 죽일 기세로 개구리를 벽에 집어 던진다. 하지만 벽에 부딪친 개구리는 웬일인지 마법이 풀려 원래의 잘생긴 왕자의 모습으로 돌아오게 되며 공주는 이러한 모습에 깜짝 놀라게 된다. 왕자에게 저주에 걸려 개구리가 되었다는 이야기를 듣게 된 공주는 그를 허락하여 둘은 잠자리에 들게 된다. 다음날 왕자의 하인인 하인리히와 함께 마차를 타고 이후 둘은 왕자의 나라로 떠나게 된다.","어느 날 아주 아리따운 공주가 금으로 만들어진 공을 가지고 숲에서 놀다가, 실수로 공을 샘에 떨어뜨렸다. 개구리는 공을 가져다주는 조건으로, 공주의 궁에서 지내게 해 주고 공주의 침대에서 재워주길 요구했다. 하지만 공을 되찾은 공주는 개구리를 따돌리고 성으로 돌아와버린다. 그럼에도 불구하고 개구리는 집요하게도 결국 공주를 찾아온다. 이래저래 식사까지 마친 개구리는 이제 침대에 같이 눕게 해 달라 요구하는데, 공주는 그동안 참아왔던 혐오감과 분노가 폭발하여 죽일 기세로 개구리를 벽에 집어 던진다. 하지만 벽에 부딪친 개구리는 웬일인지 마법이 풀려 원래의 잘생긴 왕자의 모습으로 돌아오게 되며 공주는 이러한 모습에 깜짝 놀라게 된다. 다음날 왕자의 하인인 하인리히와 함께 마차를 타고 이후 둘은 왕자의 나라로 떠나게 된다.",fantasy vivid colors
4,"친절하고 상냥한 아름다운 아가씨 신데렐라는 어려서 부모님을 잃고 맘씨 나쁜 계모와 시기심 많은 언니들의 구박을 받으면서도 희망을 잃지 않았다. 친구들이라고는 거스와 자크같은 생쥐뿐이지만 그들은 무슨 일이든 신데렐라를 도왔다. 한편 왕궁에서는 혼인에 관심이 없는 왕자 때문에 왕은 근심에 빠져 있었고, 신하인 공작은 왕자의 짝을 찾을 무도회를 열자고 간언한다. 이에 왕은 교서를 내려 왕자의 환영 무도회가 열릴 것이니 나라 안 모든 여인들은 참석하라는 교지를 내린다. 이 소식을 들은 신데렐라의 두 언니는 왕자비가 될 것이라는 생각에 들떠 얼른 무도회 준비를 시작한다. 하지만 신데렐라도 무도회에 가고 싶다고 하자 트리메인 부인은, 만약 허드렛일을 다 끝내고 자리에 맞는 드레스도 준비한다면 무도회에 데리고 가겠다고 대답한다. 신데렐라는 죽은 어머니의 옛 드레스를 꺼내 수선해서 입으려고 했지만 할 일이 너무 많아서 드레스에 손을 대지 못한다. 이를 가엾게 여긴 생쥐들은 힘을 합쳐 드레스를 수선하기로 한다. 암컷들이 바느질을 하는 사이, 수컷인 자크와 거스는 아래층으로 내려가서 드레스에 곁들일 장신구를 찾는다. 마침 언니들이 팽개쳐 놓은 목걸이와 끈이 있어 두 생쥐는 심술궂은 고양이 루시퍼를 피해 장신구들을 챙겨 온다. 이윽고 저녁 8시가 되어 부인과 언니들이 나갈 채비를 하고, 신데렐라가 수선된 아름다운 드레스를 입고 나선다. 그러나 부인은 장신구가 언니들 것이란 걸 지적하고, 언니들은 자기 걸 뺏었다면서 드레스를 헤집어 엉망을 만들어 놓는다. 홀로 남겨진 신데렐라는 정원에서 서럽게 바꾼다. 그리고 신데렐라의 망쳐진 옷을 빛나는 드레스로, 낡은 신을 유리구두로 탈바꿈시킨다. 신데렐라가 마차에 올라타려는 참에 요정 대모는 마법은 자정이 지나면 풀리니 그 이전에 돌아오라는 당부를 남긴다.","친절하고 상냥한 아름다운 아가씨 신데렐라는 어려서 부모님을 잃고 맘씨 나쁜 계모와 시기심 많은 언니들의 구박을 받으면서도 희망을 잃지 않았다. 이에 왕은 교서를 내려 왕자의 환영 무도회가 열릴 것이니 나라 안 모든 여인들은 참석하라는 교지를 내린다. 이 소식을 들은 신데렐라의 두 언니는 왕자비가 될 것이라는 생각에 들떠 얼른 무도회 준비를 시작한다. 홀로 남겨진 신데렐라는 정원에서 서럽게 바꾼다. 그리고 신데렐라의 망쳐진 옷을 빛나는 드레스로, 낡은 신을 유리구두로 탈바꿈시킨다.",fantasy vivid colors
5,"왕자는 무도회에서 여러 여인들을 만나지만 누구에게도 관심이 없어 지루해하고 있었다. 그때 마지막으로 신데렐라가 나타나자 왕자는 반색하며 달려가 춤을 청한다. 신데렐라는 그가 누구인지도 모른 채로 잘생긴 왕자를 받아들이고, 둘은 무도회 내내 춤을 추며 다른 이들의 시선을 사로잡는다. 환골탈태한 신데렐라를 트리메인 부인과 두 언니들은 알아보지 못한다. 그러나 자정이 되자 신데렐라는 황급히 떠나게 되고, 쫓아오는 왕자를 뿌리치다가 유리구두 한 짝을 왕궁 계단에 흘린다. 놀란 공작은 경비대까지 풀어 신데렐라가 타고 나간 마차를 뒤쫓는다. 곧 마법이 풀려 마차와 말과 마부와 시종은 다시 호박과 생쥐와 말과 개로 되돌아가고 신데렐라도 누더기 소녀로 돌아오자 경비대를 피할 수 있었다. 다음날, 신데렐라는 지난밤의 일을 한순간의 꿈으로 여기고, 왕자는 사랑에 빠진다. 왕은 겨우 찾은 왕자의 짝을 놓쳤다는 것에 노발대발해서 공작을 다그치고, 공작은 유리구두가 있으니 이것이 발에 맞는 여인을 찾으면 된다고 말한다. 유리구두의 주인을 찾는다는 교지가 내려지고, 이 소식을 들은 신데렐라도 희망에 부푼다. 그때 트리메인 부인은 신데렐라가 바로 구두의 주인이란 걸 눈치채고, 신데렐라를 방에 가두고 열쇠를 주머니에 넣는다. 공작이 방문하자 두 언니들은 자기들이 구두의 주인이라면서 억지로 발을 끼워 맞춘다. 방 안에 갇힌 신데렐라를 본 생쥐들은 부인의 주머니에서 열쇠를 훔친다. 그러나 고양이 루시퍼가 방해하자, 신데렐라는 개 브루노를 불러 루시퍼를 내쫓게 한다. 루시퍼는 브루노에게 쫓겨 창 밖으로 떨어진다. 공작이 구두의 주인을 찾지 못하고 떠나기 직전 신데렐라가 나타난다. 그러나 트리메인 부인이 구두를 든 하인의 발을 걸어 넘어뜨리고, 유리구두는 그만 깨어지고 만다. 하지만 신데렐라는 유리구두의 다른 한 짝을 내놓는다. 부인은 경악하고 공작은 신데렐라가 왕자의 짝임을 인정한다. 신데렐라는 왕자와 결혼식을 올리고, 행복한 결말을 맞이한다.","왕자는 무도회에서 여러 여인들을 만나지만 누구에게도 관심이 없어 지루해하고 있었다. 그때 마지막으로 신데렐라가 나타나자 왕자는 반색하며 달려가 춤을 청한다. 그러나 자정이 되자 신데렐라는 황급히 떠나게 되고, 쫓아오는 왕자를 뿌리치다가 유리구두 한 짝을 왕궁 계단에 흘린다. 곧 마법이 풀려 마차와 말과 마부와 시종은 다시 호박과 생쥐와 말과 개로 되돌아가고 신데렐라도 누더기 소녀로 돌아오자 경비대를 피할 수 있었다. 유리구두의 주인을 찾는다는 교지가 내려지고, 이 소식을 들은 신데렐라도 희망에 부푼다. 공작이 구두의 주인을 찾지 못하고 떠나기 직전 신데렐라가 나타난다. 하지만 신데렐라는 유리구두의 다른 한 짝을 내놓는다. 신데렐라는 왕자와 결혼식을 올리고, 행복한 결말을 맞이한다.",fantasy vivid colors
6,"옛날 옛날에 모두의 사랑을 받는 작고 귀여운 소녀가 있었습니다. 하지만 그 소녀를 가장 사랑하는 것은 그녀의 할머니였습니다. 할머니는 소녀에게 무엇을 줘야 할지 몰랐습니다. 한번은 할머니가 소녀에게 붉은 벨벳으로 만들어진 모자를 선물했습니다. 소녀에게 그 모자가 잘 어울렸고, 소녀가 그 모자가 아닌 다른 것은 쓰지 않으려고 했습니다. 그래서 그 소녀는 '빨간 모자'라고 불렸습니다. 어느 날, 소녀의 엄마가 그녀에게 말했습니다. ""빨간 모자, 여기로 와보렴. 여기 케이크 한 조각과 와인 한 병을 할머니에게 가져다 주렴. 할머니가 편찮으시니까 네가 가면 기뻐하실 거야. 더워지기 전에 출발하렴. 그리고 할머니 댁에 갈 때, 조심해서 가고 길에서 벗어나지 마렴. 그렇지 않으면 네가 넘어져서 병을 깨뜨릴 거야. 그러면 할머니는 아무것도 받지 못하신단다. 그리고 할머니 방에 가면, 먼저 인사하고 방 안 구석구석을 살펴보는 것을 잊지 말아라!"" ""엄마 말 잘 들을게요."" 빨간 머리가 엄마에게 말했습니다. 하지만 할머니는 마을에서 30분 떨어진 거리에 있는 숲에 사셨습니다. 빨간 모자가 숲에 같을 때, 그녀는 늑대를 만났습니다. 하지만 빨간 모자는 늑대가 얼마나 나쁜 동물인지 몰랐고 늑대를 무서워하지 않았습니다.","옛날 옛날에 모두의 사랑을 받는 작고 귀여운 소녀가 있었습니다. 한번은 할머니가 소녀에게 붉은 벨벳으로 만들어진 모자를 선물했습니다. 여기 케이크 한 조각과 와인 한 병을 할머니에게 가져다 주렴. 하지만 할머니는 마을에서 30분 떨어진 거리에 있는 숲에 사셨습니다. 빨간 모자가 숲에 같을 때, 그녀는 늑대를 만났습니다.",fantasy vivid colors
